Timestamp,BlockNumber,TransactionHash,EventName,EventData
2023-03-01T12:20:25.000Z,26087006,0x0f4f0e6f39cd46115bf2759f205a1abd9d11cfffa1f7b167e56c6646a595f981,OwnershipTransferred,"{""previousOwner"":""0x0000000000000000000000000000000000000000"",""newOwner"":""0x2b1F9db113F4C132a79A49F688736EFacAe4f802""}"
2023-03-01T12:20:25.000Z,26087006,0x0f4f0e6f39cd46115bf2759f205a1abd9d11cfffa1f7b167e56c6646a595f981,Transfer,"{""from"":""0x0000000000000000000000000000000000000000"",""to"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""value"":""1000000000000000""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Transfer,"{""from"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""to"":""0xf405B28488a0C64B9782F8Ef58e72b1B4748feF9"",""value"":""8664274243116""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Bought,"{""from"":""0xf405B28488a0C64B9782F8Ef58e72b1B4748feF9"",""to"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""tokens"":""8664274243116"",""beans"":""1900000000000"",""dollarBuy"":""15461918142845804322636438432000000000""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Transfer,"{""from"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""to"":""0xdf4Ed0043a0F9B866e156dB4dA939bA269D3216E"",""value"":""8515424620744""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Bought,"{""from"":""0xdf4Ed0043a0F9B866e156dB4dA939bA269D3216E"",""to"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""tokens"":""8515424620744"",""beans"":""1900000000000"",""dollarBuy"":""15461918142845804322636438432000000000""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Transfer,"{""from"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""to"":""0x22F2631885106336cF7fDf92751d1a2761079327"",""value"":""8370378117684""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Bought,"{""from"":""0x22F2631885106336cF7fDf92751d1a2761079327"",""to"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""tokens"":""8370378117684"",""beans"":""1900000000000"",""dollarBuy"":""15461918142845804322636438432000000000""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Transfer,"{""from"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""to"":""0xD44c062839cE0ec7e3Becb98bDDaEAc5E69e7E99"",""value"":""8229006268051""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Bought,"{""from"":""0xD44c062839cE0ec7e3Becb98bDDaEAc5E69e7E99"",""to"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""tokens"":""8229006268051"",""beans"":""1900000000000"",""dollarBuy"":""15461918142845804322636438432000000000""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Transfer,"{""from"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""to"":""0xe0c172E3995D82e1e8406eD78c84E75493E23a84"",""value"":""8091185984860""}"
2023-03-01T20:59:33.000Z,26097235,0x46bcb25e6da9fc8486346d1035616f72bf57d80d26be0b658fab5bdc494bdd95,Bought,"{""from"":""0xe0c172E3995D82e1e8406eD78c84E75493E23a84"",""to"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""tokens"":""8091185984860"",""beans"":""1900000000000"",""dollarBuy"":""15461918142845804322636438432000000000""}"
2023-03-01T20:59:33.000Z,26097235,0x4539d6e64221e010b868d60d4cfe7bbc386caf59e9c1e8a00e175ad04931dad1,Transfer,"{""from"":""0x43C3EBaFdF32909aC60E80ee34aE46637E743d65"",""to"":""0x9C9C85330fEb9f85b612Ab227CF81190cE5A9aC4"",""value"":""8288924084745""}"
