Total Transactions,Transaction Index,Unix Timestamp,Readable Timestamp,Open,Close,High,Low,tVol,UTC Date,Daily Total Volume,Cumulative Daily Volume,Cumulative Total Volume (Till Date)
531,11,1677704376,"Wed, 01 Mar 2023 20:59:36 GMT",2028269608303156271202164025770022951261000,2130331031599600789685366168958905119115262,2130331031599600789685366168958905119115262,2063001492784523132372874219225942680369520,51130476417391197436332943684346309748,2023-03-01,5751863052052038838701889712207113081688,1241739868884073536966760895053038929244,1241739868884073536966760895053038929244
531,12,1677704380,"Wed, 01 Mar 2023 20:59:40 GMT",2130331031599600789685366168958905119115262,2183375306070571230695617939339430366375532,2183375306070571230695617939339430366375532,2147720604945984548634673504373370260525766,26109717225414780416417124119282688300,2023-03-01,5751863052052038838701889712207113081688,1267849586109488317383178019172321617544,1267849586109488317383178019172321617544
531,13,1677704380,"Wed, 01 Mar 2023 20:59:40 GMT",2130331031599600789685366168958905119115262,2183375306070571230695617939339430366375532,2183375306070571230695617939339430366375532,2147720604945984548634673504373370260525766,26109717225414780416417124119282688300,2023-03-01,5751863052052038838701889712207113081688,1293959303334903097799595143291604305844,1293959303334903097799595143291604305844
531,14,1677704380,"Wed, 01 Mar 2023 20:59:40 GMT",2130331031599600789685366168958905119115262,2183375306070571230695617939339430366375532,2183375306070571230695617939339430366375532,2147720604945984548634673504373370260525766,26109717225414780416417124119282688300,2023-03-01,5751863052052038838701889712207113081688,1320069020560317878216012267410886994144,1320069020560317878216012267410886994144
531,15,1677704380,"Wed, 01 Mar 2023 20:59:40 GMT",2130331031599600789685366168958905119115262,2183375306070571230695617939339430366375532,2183375306070571230695617939339430366375532,2147720604945984548634673504373370260525766,26109717225414780416417124119282688300,2023-03-01,5751863052052038838701889712207113081688,1346178737785732658632429391530169682444,1346178737785732658632429391530169682444
531,16,1677704383,"Wed, 01 Mar 2023 20:59:43 GMT",2183375306070571230695617939339430366375532,2219324125875488409593908764380238733452420,2219324125875488409593908764380238733452420,2219324125875488409593908764380238733452420,17514688960682964944950696200000000000,2023-03-01,5751863052052038838701889712207113081688,1363693426746415623577380087730169682444,1363693426746415623577380087730169682444
531,17,1677704388,"Wed, 01 Mar 2023 20:59:48 GMT",2219324125875488409593908764380238733452420,2291895637478160825966593581241460775850604,2291895637478160825966593581241460775850604,2255565884095299969499194008922508207877520,34932060840177428082599528436000000000,2023-03-01,5751863052052038838701889712207113081688,1398625487586593051659979616166169682444,1398625487586593051659979616166169682444
531,18,1677704388,"Wed, 01 Mar 2023 20:59:48 GMT",2219324125875488409593908764380238733452420,2291895637478160825966593581241460775850604,2291895637478160825966593581241460775850604,2255565884095299969499194008922508207877520,34932060840177428082599528436000000000,2023-03-01,5751863052052038838701889712207113081688,1433557548426770479742579144602169682444,1433557548426770479742579144602169682444
531,19,1677704391,"Wed, 01 Mar 2023 20:59:51 GMT",2291895637478160825966593581241460775850604,2366182262082128952855587387614091652850224,2366182262082128952855587387614091652850224,2328685437290465125130957275885418409621648,35188575589958849345640962232000000000,2023-03-01,5751863052052038838701889712207113081688,1468746124016729329088220106834169682444,1468746124016729329088220106834169682444
531,20,1677704391,"Wed, 01 Mar 2023 20:59:51 GMT",2291895637478160825966593581241460775850604,2366182262082128952855587387614091652850224,2366182262082128952855587387614091652850224,2328685437290465125130957275885418409621648,35188575589958849345640962232000000000,2023-03-01,5751863052052038838701889712207113081688,1503934699606688178433861069066169682444,1503934699606688178433861069066169682444
531,21,1677704394,"Wed, 01 Mar 2023 20:59:54 GMT",2366182262082128952855587387614091652850224,2394489897116437195287293351739961057461360,2394489897116437195287293351739961057461360,2394489897116437195287293351739961057461360,13268629828437428898108540000000000000,2023-03-01,5751863052052038838701889712207113081688,1517203329435125607331969609066169682444,1517203329435125607331969609066169682444
531,22,1677704397,"Wed, 01 Mar 2023 20:59:57 GMT",2394489897116437195287293351739961057461360,2432510257977482226970417673842337340441600,2432510257977482226970417673842337340441600,2432510257977482226970417673842337340441600,17691503697996862806525600000000000000,2023-03-01,5751863052052038838701889712207113081688,1534894833133122470138495209066169682444,1534894833133122470138495209066169682444
531,23,1677704403,"Wed, 01 Mar 2023 21:00:03 GMT",2432510257977482226970417673842337340441600,2557751784452205831168988757594474755498500,2557751784452205831168988757594474755498500,2480454676541060366344875989875372453199100,57320410920865065419049864000000000000,2023-03-01,5751863052052038838701889712207113081688,1592215244053987535557545073066169682444,1592215244053987535557545073066169682444
531,24,1677704403,"Wed, 01 Mar 2023 21:00:03 GMT",2432510257977482226970417673842337340441600,2557751784452205831168988757594474755498500,2557751784452205831168988757594474755498500,2480454676541060366344875989875372453199100,57320410920865065419049864000000000000,2023-03-01,5751863052052038838701889712207113081688,1649535654974852600976594937066169682444,1649535654974852600976594937066169682444
531,25,1677704403,"Wed, 01 Mar 2023 21:00:03 GMT",2432510257977482226970417673842337340441600,2557751784452205831168988757594474755498500,2557751784452205831168988757594474755498500,2480454676541060366344875989875372453199100,57320410920865065419049864000000000000,2023-03-01,5751863052052038838701889712207113081688,1706856065895717666395644801066169682444,1706856065895717666395644801066169682444
531,26,1677704407,"Wed, 01 Mar 2023 21:00:07 GMT",2557751784452205831168988757594474755498500,2606910595631909442768348616189444143168000,2606910595631909442768348616189444143168000,2606910595631909442768348616189444143168000,22114346746511522969973120000000000000,2023-03-01,5751863052052038838701889712207113081688,1728970412642229189365617921066169682444,1728970412642229189365617921066169682444
531,27,1677704410,"Wed, 01 Mar 2023 21:00:10 GMT",2606910595631909442768348616189444143168000,2646577493464356513814889750888591986815000,2646577493464356513814889750888591986815000,2646577493464356513814889750888591986815000,17691491235517478446083480000000000000,2023-03-01,5751863052052038838701889712207113081688,1746661903877746667811701401066169682444,1746661903877746667811701401066169682444
531,28,1677704413,"Wed, 01 Mar 2023 21:00:13 GMT",2646577493464356513814889750888591986815000,2726020054588636470316318837898921380866960,2726020054588636470316318837898921380866960,2686160348237632517810231910743636109132840,35030581539480283600176746964854326380,2023-03-01,5751863052052038838701889712207113081688,1781692485417226951411878148031024008824,1781692485417226951411878148031024008824
531,29,1677704413,"Wed, 01 Mar 2023 21:00:13 GMT",2646577493464356513814889750888591986815000,2726020054588636470316318837898921380866960,2726020054588636470316318837898921380866960,2686160348237632517810231910743636109132840,35030581539480283600176746964854326380,2023-03-01,5751863052052038838701889712207113081688,1816723066956707235012054894995878335204,1816723066956707235012054894995878335204
531,30,1677704416,"Wed, 01 Mar 2023 21:00:16 GMT",2726020054588636470316318837898921380866960,2766170626000877244394016680180389883237530,2766170626000877244394016680180389883237530,2766170626000877244394016680180389883237530,17514704385071263899181362600000000000,2023-03-01,5751863052052038838701889712207113081688,1834237771341778498911236257595878335204,1834237771341778498911236257595878335204
531,31,1677704419,"Wed, 01 Mar 2023 21:00:19 GMT",2766170626000877244394016680180389883237530,2817285129419300080214057876243146184162730,2817285129419300080214057876243146184162730,2817285129419300080214057876243146184162730,22114526211587809664879856585541758090,2023-03-01,5751863052052038838701889712207113081688,1856352297553366308576116114181420093294,1856352297553366308576116114181420093294
531,32,1677704425,"Wed, 01 Mar 2023 21:00:25 GMT",2817285129419300080214057876243146184162730,2927024348595921336026202302756899669941558,2927024348595921336026202302756899669941558,2885718637378588353306235567463228802428376,46808072037988652814053774460015342852,2023-03-01,5751863052052038838701889712207113081688,1903160369591354961390169888641435436146,1903160369591354961390169888641435436146
531,33,1677704425,"Wed, 01 Mar 2023 21:00:25 GMT",2817285129419300080214057876243146184162730,2927024348595921336026202302756899669941558,2927024348595921336026202302756899669941558,2885718637378588353306235567463228802428376,46808072037988652814053774460015342852,2023-03-01,5751863052052038838701889712207113081688,1949968441629343614204223663101450778998,1949968441629343614204223663101450778998
531,34,1677704428,"Wed, 01 Mar 2023 21:00:28 GMT",2927024348595921336026202302756899669941558,3032638200593512799580719083149063379585560,3032638200593512799580719083149063379585560,2990168046435195621229549050269024126733234,44229144566197297847671470000000000000,2023-03-01,5751863052052038838701889712207113081688,1994197586195540912051895133101450778998,1994197586195540912051895133101450778998
531,35,1677704428,"Wed, 01 Mar 2023 21:00:28 GMT",2927024348595921336026202302756899669941558,3032638200593512799580719083149063379585560,3032638200593512799580719083149063379585560,2990168046435195621229549050269024126733234,44229144566197297847671470000000000000,2023-03-01,5751863052052038838701889712207113081688,2038426730761738209899566603101450778998,2038426730761738209899566603101450778998
531,36,1677704431,"Wed, 01 Mar 2023 21:00:31 GMT",3032638200593512799580719083149063379585560,3070026714229764341672517785223228579177744,3070026714229764341672517785223228579177744,3070026714229764341672517785223228579177744,15480107102989242357799764000000000000,2023-03-01,5751863052052038838701889712207113081688,2053906837864727452257366367101450778998,2053906837864727452257366367101450778998
531,37,1677704434,"Wed, 01 Mar 2023 21:00:34 GMT",3070026714229764341672517785223228579177744,3156386643524276561095747435693618427758746,3156386643524276561095747435693618427758746,3102269841396610322717729836006370293941330,35383074953309906793065688000000000000,2023-03-01,5751863052052038838701889712207113081688,2089289912818037359050432055101450778998,2089289912818037359050432055101450778998
531,38,1677704434,"Wed, 01 Mar 2023 21:00:34 GMT",3070026714229764341672517785223228579177744,3156386643524276561095747435693618427758746,3156386643524276561095747435693618427758746,3102269841396610322717729836006370293941330,35383074953309906793065688000000000000,2023-03-01,5751863052052038838701889712207113081688,2124672987771347265843497743101450778998,2124672987771347265843497743101450778998
531,39,1677704440,"Wed, 01 Mar 2023 21:00:40 GMT",3156386643524276561095747435693618427758746,3272941707306972993463597138208005888573860,3272941707306972993463597138208005888573860,3200040824727405929363019433267389909076452,46985018759443656379710743808302744376,2023-03-01,5751863052052038838701889712207113081688,2171658006530790922223208486909753523374,2171658006530790922223208486909753523374
531,40,1677704440,"Wed, 01 Mar 2023 21:00:40 GMT",3156386643524276561095747435693618427758746,3272941707306972993463597138208005888573860,3272941707306972993463597138208005888573860,3200040824727405929363019433267389909076452,46985018759443656379710743808302744376,2023-03-01,5751863052052038838701889712207113081688,2218643025290234578602919230718056267750,2218643025290234578602919230718056267750
531,41,1677704443,"Wed, 01 Mar 2023 21:00:43 GMT",3272941707306972993463597138208005888573860,3336916362798450761596347193362707682727476,3336916362798450761596347193362707682727476,3295135962483614558296006490728168487789556,25431914222100764346640478250000000000,2023-03-01,5751863052052038838701889712207113081688,2244074939512335342949559708968056267750,2244074939512335342949559708968056267750
531,42,1677704443,"Wed, 01 Mar 2023 21:00:43 GMT",3272941707306972993463597138208005888573860,3336916362798450761596347193362707682727476,3336916362798450761596347193362707682727476,3295135962483614558296006490728168487789556,25431914222100764346640478250000000000,2023-03-01,5751863052052038838701889712207113081688,2269506853734436107296200187218056267750,2269506853734436107296200187218056267750
531,43,1677704446,"Wed, 01 Mar 2023 21:00:46 GMT",3336916362798450761596347193362707682727476,3381327879585589667539376896157858320359714,3381327879585589667539376896157858320359714,3381327879585589667539376896157858320359714,17514871876444602215759191560000000000,2023-03-01,5751863052052038838701889712207113081688,2287021725610880709511959378778056267750,2287021725610880709511959378778056267750
531,44,1677704452,"Wed, 01 Mar 2023 21:00:52 GMT",3381327879585589667539376896157858320359714,3437791158297608542003563575526542333678904,3437791158297608542003563575526542333678904,3437791158297608542003563575526542333678904,22114575063350876375594085000000000000,2023-03-01,5751863052052038838701889712207113081688,2309136300674231585887553463778056267750,2309136300674231585887553463778056267750
531,45,1677704455,"Wed, 01 Mar 2023 21:00:55 GMT",3437791158297608542003563575526542333678904,3517660605708998464709098436171201413762818,3517660605708998464709098436171201413762818,3517660605708998464709098436171201413762818,30960405088691226925831719000000000000,2023-03-01,5751863052052038838701889712207113081688,2340096705762922812813385182778056267750,2340096705762922812813385182778056267750
531,46,1677704458,"Wed, 01 Mar 2023 21:00:58 GMT",3517660605708998464709098436171201413762818,3582718401264559394466441567289478799664662,3582718401264559394466441567289478799664662,3582718401264559394466441567289478799664662,24977910619934945033626150720375593018,2023-03-01,5751863052052038838701889712207113081688,2365074616382857757847011333498431860768,2365074616382857757847011333498431860768
531,47,1677704461,"Wed, 01 Mar 2023 21:01:01 GMT",3582718401264559394466441567289478799664662,3633855928844378349108942469803134516741574,3633855928844378349108942469803134516741574,3633855928844378349108942469803134516741574,19460566598795370981724717200000000000,2023-03-01,5751863052052038838701889712207113081688,2384535182981653128828736050698431860768,2384535182981653128828736050698431860768
531,48,1677704473,"Wed, 01 Mar 2023 21:01:13 GMT",3633855928844378349108942469803134516741574,3687617931003581313644285998061641885177104,3687617931003581313644285998061641885177104,3687617931003581313644285998061641885177104,20252191009425759097144404345860531100,2023-03-01,5751863052052038838701889712207113081688,2404787373991078887925880455044292391868,2404787373991078887925880455044292391868
531,49,1677704476,"Wed, 01 Mar 2023 21:01:16 GMT",3687617931003581313644285998061641885177104,3758427666312511061630608633562163161826156,3758427666312511061630608633562163161826156,3758427666312511061630608633562163161826156,26538127610005566542811726000000000000,2023-03-01,5751863052052038838701889712207113081688,2431325501601084454468692181044292391868,2431325501601084454468692181044292391868
531,50,1677704479,"Wed, 01 Mar 2023 21:01:19 GMT",3758427666312511061630608633562163161826156,3841934899025225392895086827423418569050904,3841934899025225392895086827423418569050904,3841934899025225392895086827423418569050904,30961278353380438175156436000000000000,2023-03-01,5751863052052038838701889712207113081688,2462286779954464892643848617044292391868,2462286779954464892643848617044292391868
